"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[5,10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[10,15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[15,20)",0.0435104197036394,0.0588050727145181,0.0636793435149897,0.778400531481503,0.932423618965754,0.696160843546124,0.677735290770714,0.480782016289863,0.417665479021049,0.443383968696189,0.407587706980728,0.215254869875636,0.0823126581919773,0.0748736949981156,0.0490305345402121,0.0501525965616902
"[20,25)",0.0617108525082513,0.0596667940355278,0.0592761351365777,0.297006753815224,1.0801565950743,0.962517884335192,0.826365377611848,0.53262445816265,0.43569218458078,0.444187300426014,0.467500160111149,0.315792911699601,0.160620746445816,0.11301455820126,0.0646339256048279,0.0891475110182429
"[25,30)",0.106903854012764,0.0960139003705828,0.0723441321715323,0.196623034007435,0.615948293446833,1.04868494876867,0.857060236108096,0.536269919457782,0.409519892479837,0.410717159448775,0.494836736295785,0.314344389660046,0.16921765808556,0.123705832210651,0.0750299584519332,0.100183830522598
"[30,35)",0.135910632962699,0.182967284535325,0.0847659422278662,0.155820629273151,0.436882192364818,0.69739316484521,1.03241934282303,0.665160118135658,0.48402981778914,0.435850602451122,0.486737339913401,0.409093942006882,0.231527740238395,0.175590795636078,0.0840726912485339,0.111543463530561
"[35,40)",0.113015260414421,0.231582038591515,0.156128744242713,0.137452865135526,0.301142669054494,0.471261133428243,0.734987432810212,0.76199841102015,0.555614357814856,0.437178083752332,0.507081574797415,0.368792923290567,0.271252724925083,0.267196253014594,0.129646232803207,0.109999088370088
"[40,45)",0.0889611719291232,0.157270353020427,0.204540132484531,0.256049237045904,0.399563835732167,0.514789999490814,0.646092924430736,0.678425998478529,0.72945694215025,0.702776542133339,0.631867237426493,0.454191186602439,0.23887975080112,0.259771719644969,0.169296428214116,0.155640712409115
"[45,50)",0.0675335965747505,0.115085805616113,0.103678689555798,0.148641598808493,0.294625026072701,0.37522793760374,0.455137444567644,0.452275952572098,0.502144815325164,0.74711668026711,0.678452596063997,0.42948927114989,0.196209948224383,0.152345303650767,0.108565101576543,0.146526908404688
"[50,55)",0.0628709555203439,0.0787217715838061,0.0574806118193947,0.121509910389101,0.278412865111001,0.465436512584468,0.530947095812363,0.40761386201465,0.445238955730876,0.62341840808857,0.956506273549031,0.606896198458854,0.224926097368909,0.136899568803579,0.0869160175341363,0.172461015186243
"[55,60)",0.0663222543442453,0.0865795126400249,0.0641387167552631,0.101540984395948,0.25788806100043,0.401269998774831,0.583682441156222,0.45392546944038,0.398993664013933,0.547928969684719,0.841660855286538,0.807675407727409,0.296884482131288,0.187280030810429,0.0945536895815899,0.192006680474693
"[60,65)",0.0603777897703845,0.107821353412165,0.0921739909444901,0.10910755388602,0.199988811073527,0.285730499260361,0.433852311611622,0.458274930553845,0.359913385009716,0.444903175525261,0.663578641756626,0.749138740871618,0.568648370259164,0.285140358550551,0.126813992126693,0.282149956939347
"[65,70)",0.0920803444073753,0.100102180203961,0.0780609372657012,0.206450550262731,0.217243526825996,0.416868168143271,0.432924170336938,0.481822104289766,0.483329420484805,0.465016809952437,0.670464454055297,0.66502544475458,0.542223834559202,0.565531641913423,0.173605395242415,0.196087177907334
"[70,75)",0.0842465955277254,0.163488803026441,0.189418271187949,0.159258041695689,0.132978178683987,0.359663147810642,0.265202563140171,0.362999841027646,0.541181087872764,0.348698101431333,0.489193753864993,0.616740001665785,0.459320924009258,0.640865877108599,0.451505851983091,0.728157111677317
"75+",0.0414274019983905,0.0859118293694915,0.0411279132206989,0.0407086840863576,0.22670820972896,0.28322160646292,0.260734577400006,0.285411986488028,0.426701191194598,0.402956585985304,0.687489213030759,0.440068348546464,0.383763232117946,0.356066341369284,0.320682555038367,0.483914422995593
