"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",0.168963379190266,0.0994394227642432,0.0967155429703008,0.221661447271465,0.0863002984757604,0.289635492026203,0.572755601085729,0.503107738768063,0.26493347980344,0.173300645505058,0.31024696511483,0.347058654280018,0.231757423273257,0.189035216206848,0.0639113029300697,0.0963395695460455
"[5,10)",0.143217349100269,0.198289911189457,0.114995030334412,0.163944627567911,0.321282097104085,0.316310257737639,0.628014769047129,0.705913705265503,0.385094222970973,0.238347909269876,0.222393337383264,0.219290056214118,0.235265805071371,0.294795998287035,0.0861012840006765,0.0654066504794827
"[10,15)",0.0776109594551577,0.12546393792708,0.0958762143596863,0.150442218466685,0.184949763358787,0.236418066139997,0.40274987526589,0.554169080902767,0.522127998675805,0.386757560147622,0.221214221484829,0.110874929425478,0.224287471388328,0.108216736930973,0.0878064169746025,0.0475104797787831
"[15,20)",0.0725929224039948,0.0707462549031737,0.0696199594693728,0.652392152169108,0.555411022714952,0.536641848819999,0.561242430010041,0.449299291873326,0.419443453240417,0.397583651718778,0.226132362122744,0.132948270053568,0.11524780358691,0.102622519951227,0.0628310336671231,0.0807991375322175
"[20,25)",0.0980755744621827,0.0772181684635713,0.0488231219792716,0.233514132056273,1.19199007102988,1.37108022648473,0.848232631908008,0.530771718440481,0.405436107973561,0.417836606791822,0.393258177294861,0.305914509780171,0.138730939585115,0.122937873472613,0.0781381229672372,0.0605914878133432
"[25,30)",0.138627816775309,0.137833271853673,0.0669343551202706,0.172566816841673,0.59364519210233,1.07097790232219,0.926146456278579,0.606709947484787,0.465891158666492,0.555305780343807,0.626954602337225,0.388672844126933,0.208226376571536,0.154899360397408,0.0917658531959955,0.130829029641549
"[30,35)",0.158248555889824,0.207683507068444,0.081185702403753,0.156484509966656,0.468469497351426,0.759493413594249,1.14210593771413,0.716891511057585,0.509022997460874,0.487587811452292,0.490985141004032,0.466721003026605,0.237119914966309,0.163540438527243,0.0709704640490409,0.0974531032907616
"[35,40)",0.121670009980221,0.251956196842751,0.166512528838268,0.161098022553074,0.297969639816742,0.474109472259532,0.731619199516614,0.753735176708291,0.588309598415073,0.406823745921833,0.457079957388707,0.341158143342757,0.280575859609997,0.259132621666736,0.123299199882983,0.104438965864333
"[40,45)",0.090213136466213,0.166596735754025,0.199871893000402,0.210776813046312,0.429057019348291,0.534740577518305,0.619559607531272,0.614411924396023,0.735874042023528,0.675461387597089,0.569582039718681,0.396837872013819,0.264788063006756,0.253059247864852,0.164693765538339,0.146601938743821
"[45,50)",0.0627293956211194,0.107845621868579,0.110923057041449,0.169196029087852,0.334185236216463,0.402603435823837,0.455057330750858,0.431638369530169,0.509703285227575,0.703932509550722,0.572996033222423,0.338864840416565,0.182558780218283,0.145745135792414,0.119621919984427,0.191970871305619
"[50,55)",0.0901863420679267,0.0912974709854745,0.070391543622055,0.12124966573618,0.284564920910769,0.493763114314597,0.494685009518061,0.361857940175906,0.384045921043869,0.495562122689486,0.827837271819598,0.496467360809874,0.246406568838972,0.140787227607505,0.11366950884087,0.230299834043429
"[55,60)",0.0881435109650443,0.152888753339849,0.0693426545001367,0.0682936484588117,0.176820703833626,0.288881476222849,0.483975585635574,0.366865389402249,0.284992163155518,0.395930538060613,0.616671246456789,0.671945342247734,0.278499362429425,0.186493696129621,0.11325973485974,0.208009911621711
"[60,65)",0.108072022905281,0.140836136403706,0.101084239179149,0.0949730127361714,0.18846598790684,0.241207289390728,0.467867514149221,0.508198588186497,0.312652712623117,0.385505318738028,0.459753594370249,0.453588452639052,0.487396004139216,0.345581186502754,0.12865074813144,0.272627593505551
"[65,70)",0.0705521329883142,0.121864554701485,0.121371440148123,0.10006764078905,0.130906726462167,0.202951067737219,0.301264399203774,0.374539962646432,0.351259023887103,0.210698639890545,0.276639653981798,0.241646014607071,0.30563236880097,0.471369088673914,0.229292445237935,0.214960447045128
"[70,75)",0.0528804485072908,0.131517390426333,0.148215786763858,0.0702321760220697,0.135261168199624,0.148318298636675,0.185158734506122,0.259937250471188,0.338223564695491,0.288363312570377,0.223446576674871,0.180552354146401,0.206038158345037,0.37545754235184,0.355258351261662,0.266969838310467
"75+",0.0657587313328645,0.110990464503682,0.063444970508765,0.0638403956045155,0.145999425203479,0.217373128129308,0.262271831881791,0.276603985763014,0.215609172296972,0.316873497874594,0.383148513486407,0.373961844252908,0.312694143338464,0.357180483126761,0.282038492504918,0.487576504882741
