"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[5,10)",0.0930985038357443,0.380447374409312,0.152038941320554,0.0710982168084396,0.124661345318638,0.218754672704221,0.441502143739003,0.607489705753354,0.35496606393859,0.192979207808268,0.186590857934081,0.214213837046716,0.212798017401691,0.267814967121721,0.129949352849808,0.0991282810474511
"[10,15)",0.0672169225057199,0.178277442045283,0.454896833996519,0.0700526453133653,0.100303110863954,0.161912964873742,0.247750518712281,0.457279366599932,0.528312684086313,0.32705523712857,0.194932901566927,0.149751416569503,0.164914885044663,0.228072883526646,0.157526531357513,0.103549525641918
"[15,20)",0.0323991010325843,0.0755069636593692,0.0638927031664258,1.03921130819528,0.516125808475706,0.183032221716514,0.168475414211637,0.229931835743103,0.475818594737325,0.426566071644613,0.303976405662361,0.146477144872099,0.144704057151497,0.154515447466516,0.148404809203764,0.138514983662545
"[20,25)",0.0274196338511286,0.048248262862042,0.0623978178908105,0.685451368975495,4.09092135008966,0.813908914040561,0.27869874441431,0.286461362589714,0.31295131723082,0.458381304580979,0.391023396995201,0.286438272958939,0.114019420387922,0.108176492608921,0.11045155521208,0.138725888553358
"[25,30)",0.153975669192686,0.198041902958537,0.0792035012184092,3.84527936000545,5.25746678170513,2.46536575383338,0.822847521440851,0.595512648878336,0.404292303315662,0.37443876004646,0.513386890402186,0.235575331166285,0.187331584858781,0.147582206113634,0.100238497225184,0.102623581205809
"[30,35)",0,0,0,0,0.220159812409812,1.02713383838384,0.440319624819625,0.220159812409812,0.402780663780664,0.182620851370851,0.193025974025974,0.365241702741703,0,0,0,0
"[35,40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[40,45)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[45,50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[50,55)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[55,60)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[60,65)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[65,70)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[70,75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
